iter	Passed	Remaining
473	727	806
474	728	804
475	729	802
476	730	800
477	731	798
478	732	796
479	733	794
480	734	792
481	735	790
482	737	788
483	737	786
484	738	784
485	739	782
486	740	780
487	741	778
488	743	776
489	744	774
490	745	772
491	746	770
492	746	768
493	747	765
494	749	764
495	750	762
496	751	760
497	752	758
498	753	756
499	753	753
500	755	752
501	756	750
502	757	748
503	758	746
504	759	744
505	760	742
506	761	740
507	762	738
508	763	736
509	764	734
510	765	732
511	766	730
512	767	728
513	768	726
514	769	724
515	770	722
516	771	720
517	772	718
518	773	716
519	774	714
520	775	712
521	775	710
522	776	708
523	777	706
524	778	704
525	779	702
526	780	700
527	781	698
528	782	696
529	783	694
530	784	692
531	785	690
532	786	689
533	787	687
534	788	685
535	789	683
536	790	681
537	791	679
538	792	677
539	793	676
540	794	674
541	795	672
542	796	670
543	797	668
544	798	666
545	799	664
546	800	663
547	801	661
548	802	659
549	803	657
550	804	655
551	806	654
552	807	652
553	808	650
554	809	648
555	810	646
556	811	645
557	812	643
558	813	641
559	814	639
560	815	638
561	816	636
562	817	634
563	818	632
564	819	631
565	820	629
566	821	627
567	822	625
568	823	624
569	824	622
570	826	620
571	827	618
572	827	616
573	828	615
574	829	613
575	831	611
576	832	610
577	833	608
578	834	606
579	835	605
580	836	603
581	837	601
582	838	599
583	839	598
584	840	596
585	841	594
586	842	592
587	843	591
588	844	589
589	845	587
590	846	585
591	847	584
592	848	582
593	849	580
594	850	579
595	851	577
596	852	575
597	853	573
598	854	572
599	855	570
600	856	568
601	857	567
602	858	565
603	859	563
604	860	561
605	861	560
606	862	558
607	863	556
608	864	554
609	865	553
610	866	551
611	867	549
612	868	548
613	869	546
614	870	544
615	871	543
616	872	541
617	873	540
618	874	538
619	875	536
620	876	534
621	877	533
622	878	531
623	879	529
624	880	528
625	881	526
626	882	525
627	883	523
628	884	521
629	885	520
630	886	518
631	888	517
632	889	515
633	890	513
634	890	512
635	892	510
636	893	509
637	894	507
638	895	505
639	895	503
640	896	502
641	897	500
642	898	499
643	900	497
644	901	495
645	901	494
646	902	492
647	903	490
648	904	489
649	905	487
650	906	486
651	907	484
652	908	482
653	909	481
654	910	479
655	911	477
656	912	476
657	913	474
658	914	473
659	915	471
660	915	469
661	916	468
662	917	466
663	918	464
664	919	463
665	920	461
666	921	460
667	922	458
668	923	456
669	924	455
670	925	453
671	926	452
672	927	450
673	928	449
674	929	447
675	930	446
676	931	444
677	932	442
678	933	441
679	933	439
680	934	437
681	935	436
682	936	434
683	937	433
684	938	431
685	939	430
686	940	428
687	941	426
688	942	425
689	943	424
690	945	422
691	945	421
692	947	419
693	947	417
694	949	416
695	950	415
696	951	413
697	952	411
698	952	410
699	953	408
700	954	407
701	956	405
702	957	404
703	958	402
704	959	401
705	960	400
706	961	398
707	963	397
708	964	395
709	964	394
710	965	392
711	966	390
712	967	389
713	968	388
714	969	386
715	970	384
716	971	383
717	972	381
718	973	380
719	974	378
720	975	377
721	976	375
722	977	374
723	977	372
724	978	371
725	979	369
726	980	368
727	981	366
728	982	365
729	983	363
730	984	362
731	985	360
732	985	359
733	987	357
734	988	356
735	989	355
736	990	353
737	991	352
738	993	350
739	994	349
740	995	348
741	996	346
742	997	345
743	999	343
744	1000	342
745	1001	341
746	1002	339
747	1004	338
748	1004	336
749	1006	335
750	1007	334
751	1008	332
752	1009	331
753	1010	329
754	1011	328
755	1013	327
756	1014	325
757	1015	324
758	1016	322
759	1017	321
760	1018	319
761	1019	318
762	1020	317
763	1021	315
764	1022	314
765	1024	312
766	1025	311
767	1026	310
768	1027	308
769	1028	307
770	1029	305
771	1030	304
772	1032	303
773	1033	301
774	1034	300
775	1035	298
776	1036	297
777	1038	296
778	1039	294
779	1040	293
780	1041	291
781	1042	290
782	1043	289
783	1044	287
784	1045	286
785	1046	285
786	1048	283
787	1049	282
788	1051	281
789	1052	279
790	1053	278
791	1054	276
792	1055	275
793	1056	274
794	1058	272
795	1059	271
796	1060	270
797	1062	268
798	1063	267
799	1064	266
800	1065	264
801	1067	263
802	1068	262
803	1069	260
804	1070	259
805	1071	257
806	1072	256
807	1072	254
808	1073	253
809	1074	252
810	1075	250
811	1076	249
812	1077	247
813	1078	246
814	1079	245
815	1080	243
816	1082	242
817	1082	240
818	1083	239
819	1084	238
820	1085	236
821	1086	235
822	1087	233
823	1088	232
824	1089	231
825	1090	229
826	1091	228
827	1092	226
828	1093	225
829	1094	224
830	1095	222
831	1096	221
832	1097	219
833	1098	218
834	1098	217
835	1100	215
836	1101	214
837	1101	213
838	1102	211
839	1103	210
840	1104	208
841	1105	207
842	1106	206
843	1107	204
844	1108	203
845	1108	201
846	1109	200
847	1110	199
848	1111	197
849	1112	196
850	1113	195
851	1114	193
852	1115	192
853	1116	190
854	1117	189
855	1118	188
856	1119	186
857	1120	185
858	1121	184
859	1122	182
860	1122	181
861	1123	179
862	1124	178
863	1125	177
864	1127	175
865	1128	174
866	1129	173
867	1129	171
868	1130	170
869	1132	169
870	1133	167
871	1133	166
872	1134	165
873	1135	163
874	1136	162
875	1137	161
876	1138	159
877	1139	158
878	1140	157
879	1141	155
880	1142	154
881	1143	153
882	1145	151
883	1146	150
884	1147	149
885	1148	147
886	1149	146
887	1149	145
888	1151	143
889	1152	142
890	1153	141
891	1154	139
892	1155	138
893	1156	137
894	1157	135
895	1158	134
896	1159	133
897	1160	131
898	1161	130
899	1162	129
900	1163	127
901	1164	126
902	1165	125
903	1166	123
904	1167	122
905	1169	121
906	1170	119
907	1171	118
908	1172	117
909	1172	115
910	1173	114
911	1174	113
912	1175	112
913	1176	110
914	1177	109
915	1178	108
916	1179	106
917	1180	105
918	1180	104
919	1182	102
920	1183	101
921	1185	100
922	1186	98
923	1187	97
924	1188	96
925	1189	95
926	1190	93
927	1191	92
928	1192	91
929	1193	89
930	1194	88
931	1195	87
932	1196	85
933	1197	84
934	1198	83
935	1199	82
936	1201	80
937	1202	79
938	1203	78
939	1204	76
940	1205	75
941	1206	74
942	1207	73
943	1208	71
944	1210	70
945	1210	69
946	1211	67
947	1212	66
948	1213	65
949	1214	63
950	1215	62
951	1216	61
952	1217	60
953	1218	58
954	1219	57
955	1220	56
956	1221	54
957	1222	53
958	1223	52
959	1224	51
960	1224	49
961	1226	48
962	1227	47
963	1228	45
964	1229	44
965	1230	43
966	1230	42
967	1231	40
968	1232	39
969	1234	38
970	1235	36
971	1236	35
972	1236	34
973	1237	33
974	1239	31
975	1240	30
976	1241	29
977	1242	27
978	1243	26
979	1244	25
980	1245	24
981	1246	22
982	1247	21
983	1248	20
984	1249	19
985	1249	17
986	1251	16
987	1252	15
988	1253	13
989	1254	12
990	1255	11
991	1255	10
992	1256	8
993	1258	7
994	1258	6
995	1259	5
996	1260	3
997	1261	2
998	1262	1
999	1263	0
